propertyId,primaryPropertyType,secondaryPropertyType,primaryCategory,address,state,locarea,suburb,postcode,suburbId,price,price_adjusted,buildingsize,landsize,bedrooms,bathrooms,parking,medianPrice,propertyFeatures
,Apartment,Apartment / Unit / Flat,Sold,"3/10 MacPherson Street, Cremorne NSW 2090",NSW,north_shore_lower,Cremorne,2090,12182,"$604,000 ","$604,000 ",0,0,1,1,1,0K,
,House,House,Sold,"215 Victoria Street, BEACONSFIELD NSW 2015",NSW,inner_west,Beaconsfield,2015,2742,"$700,000 ","$700,000 ",0,121.00 sqm,2,1,1,0K,
YT-8804-LZ,Apartment,Apartment / Unit / Flat,Sold,"16/10-14 Warburton Street, Gymea NSW 2227",NSW,sutherland,Gymea,2227,20002,"$635,000 ","$635,000 ",122,0,2,1,1,0K,
A5649195,Apartment,Apartment / Unit / Flat,Sold,"3/148B Stoney Creek Road, Beverly Hills NSW 2209",NSW,st_george,Beverly Hills,2209,3832,"$555,000 ","$555,000 ",0,0,2,1,1,0K,"Air conditioning,Bath,Built in wardrobes,Fully fenced,Garden / Courtyard,Ground floor,Intercom,Internal Laundry,Secure Parking"
,Apartment,Apartment / Unit / Flat,Sold,"6/2 Daniel Street, Botany NSW 2019",NSW,eastern_suburbs,Botany,2019,5802,Price Withheld,$0 ,124.00 sqm,0,1,1,1,0K,"Air Conditioning,Built-In Wardrobes,Close to Schools,Close to Shops,Close to Transport,Security Alarm,Secure Parking,Terrace-Balcony"
A7081805,Apartment,Apartment / Unit / Flat,Sold,"26/9-17 Newton St, ALEXANDRIA NSW 2015",NSW,eastern_suburbs,Alexandria,2015,452,Price Withheld,$0 ,0,0,2,1,1,0K,
UX-4296-MO,House,House,Sold,"19 Conway Road, BANKSTOWN NSW 2200",NSW,canterbury_bankstown,Bankstown,2200,2102,"$470,000 ","$470,000 ",0,0,2,1,2,0K,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Formal Lounge, Garden, Secure Parking, Separate Dining"
LD-8969-PU,Apartment,Apartment / Unit / Flat,Sold,"333/38-46 Albany  Street, St Leonards NSW 2065",NSW,north_shore_lower,St Leonards,2065,40382,"$685,000 ","$685,000 ",0,0,2,2,1,0K,"Air Conditioning, Heating, Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Ensuite, Intercom, City Views, Security Access, Lift Installed"
,Apartment,Apartment / Unit / Flat,Sold,WOLLI CREEK NSW 2205,NSW,st_george,Wolli Creek,2205,48612,Price Withheld,$0 ,0,0,2,2,1,0K,"Built-In Wardrobes, Close to Shops, Close to Transport, Formal Lounge, Pool, Secure Parking, Terrace-Balcony"
UA-3033-OO,Apartment,Apartment / Unit / Flat,Sold,"4/166 Croydon Avenue, CROYDON PARK NSW 2133",NSW,inner_west,Croydon Park,2133,12442,"$499,000 ","$499,000 ",0,0,2,1,1,0K,Built in Wardrobes
WZ-2349-WW,Apartment,Apartment / Unit / Flat,Sold,"11/9 Bay Drive, Meadowbank NSW 2114",NSW,northern_suburbs,Meadowbank,2114,28092,"$502,500 ","$502,500 ",0,0,2,1,1,0K,"Air Conditioning,Balcony,Building Security,Close to Shops,Close to Transport,Gas Heating,Gas Hot Water,Intercom,Internal Laundry"
RT-6327-GC,Apartment,Apartment / Unit / Flat,Sold,"18/38 Cope Street, LANE COVE NSW 2066",NSW,north_shore_lower,Lane Cove,2066,24982,"$520,500 ","$520,500 ",0,0,2,1,1,0K,
A5489480,Apartment,Apartment / Unit / Flat,Sold,"17/40 Chertsey ave, Bankstown NSW 2200",NSW,canterbury_bankstown,Bankstown,2200,2102,"$428,000 ","$428,000 ",113,0,2,1,1,0K,
