propertyId,date sold,primaryPropertyType,secondaryPropertyType,primaryCategory,address,state,locarea,suburb,postcode,suburbId,price,buildingsize,landsize,bedrooms,bathrooms,parking,medianPrice,propertyFeatures
KH-1645-VT,10-Aug-16,Apartment,Apartment / Unit / Flat,Sold,"4/25 Wharf Road, Gladesville NSW 2111",NSW,northern_suburbs,Gladesville,2111,18082,"$501,000 ",0,0,1,1,1,0K,"Close to Schools, Close to Shops, Close to Transport, Internal Laundry, Modern Bathroom, Quiet Location, Balcony, Built in Wardrobes, Renovated Bathroom, Storage Area, Close to Parklands, Lock Up Garage, STORAGE ROOM"
NG-2429-CR,25-Sep-15,Apartment,Apartment / Unit / Flat,Sold,"3/3 Peach Tree Road, Macquarie Park NSW 2113",NSW,northern_suburbs,Macquarie Park,2113,26812,"$640,000 ",0,0,2,1,1,0K,
FH-4969-FQ,13-Mar-14,Apartment,Apartment / Unit / Flat,Sold,"741/8 Ascot Ave, Zetland NSW 2017",NSW,eastern_suburbs,Zetland,2017,50432,"$710,000 ",0,0,2,1,1,0K,
VA-5786-TW,26-Nov-16,Apartment,Apartment / Unit / Flat,Sold,"7/35 Monomeeth Street, Bexley NSW 2207",NSW,st_george,Bexley,2207,3872,"$570,000 ",0,0,2,1,1,0K,
AJ-1065-WH,15-Apr-11,Apartment,Apartment / Unit / Flat,Sold,"5/35-43 Dalley Street, Queenscliff NSW 2096",NSW,northern_beaches,Queenscliff,2096,36472,"$645,000 ",0,0,2,2,1,0K,
LV-8483-RZ,6-Feb-15,Apartment,Apartment / Unit / Flat,Sold,"2/56-58 Seaview Street, CRONULLA NSW 2230",NSW,sutherland,Cronulla,2230,12262,"$635,000 ",0,0,2,1,1,0K,"Internal Laundry, Modern Kitchen, Private And Light Filled, Floor Boards Throughout, East Facing Balcony, Secure Complex"
CO-3831-JN,18-Apr-11,Apartment,Apartment / Unit / Flat,Sold,"10/25 Addison  Road, Manly NSW 2095",NSW,northern_beaches,Manly,2095,27222,"$667,000 ",0,0,1,1,1,0K,"Air Conditioning, Built-In Wardrobes, Close to Shops, Close to Transport, Intercom, Water Views, City Views"
VB-1954-ZS,9-Oct-15,House,Townhouse,Sold,"14/284 Rocky Pt Rd (cnr Dillon St), Sans Souci NSW 2219",NSW,st_george,Sans Souci,2219,38462,"$690,000 ",147,0,2,2,1,0K,"Built-In Wardrobes, Close to Shops, Secure Parking"
YR-5693-FZ,27-Aug-14,Apartment,Apartment / Unit / Flat,Sold,"1105/10 Sturdee Parade, Dee Why NSW 2099",NSW,northern_beaches,Dee Why,2099,13452,"$525,000 ",0,0,1,1,1,0K,Secure Parking
YK-2306-AM,21-Mar-17,Apartment,Apartment / Unit / Flat,Sold,"4/45-47 Brickfield Street, North Parramatta NSW 2151",NSW,parramatta,North Parramatta,2151,33282,"$600,000 ",0,0,2,2,1,0K,
,31-Oct-16,Apartment,Apartment / Unit / Flat,Sold,"20/109 O'Riordan Street, Mascot NSW 2020",NSW,eastern_suburbs,Mascot,2020,27742,"$865,000 ",153,0,2,2,2,0K,"Air Conditioning,Built-In Wardrobes,Close to Schools,Close to Shops,Close to Transport,Secure Parking,Polished Timber Floor,Pool,Terrace-Balcony"
WZ-4771-OL,30-Oct-15,Apartment,Apartment / Unit / Flat,Sold,"6/34-36 Marlborough Rd, Homebush West NSW 2140",NSW,inner_west,Homebush West,2140,21292,"$502,500 ",0,0,2,1,1,0K,
WJ-6743-CD,2-Mar-17,Apartment,Apartment / Unit / Flat,Sold,"33/18 Market Street, Rockdale NSW 2216",NSW,st_george,Rockdale,2216,37352,"$680,000 ",0,0,2,2,1,0K,"Close to Schools,Close to Transport,Ensuite,Formal Lounge,Balcony,Built-In-Robes,Dining Room,Dishwasher,Gas"
,13-Apr-10,Apartment,Apartment / Unit / Flat,Sold,"102/59-61 Ridge Street, NORTH SYDNEY NSW 2060",NSW,north_shore_lower,North Sydney,2060,33412,"$795,000 ",0,0,2,2,1,0K,
OC-4448-XT,20-Feb-17,House,Townhouse,Sold,"23/26 Busaco Road, Marsfield NSW 2122",NSW,northern_suburbs,Marsfield,2122,27602,"$760,000 ",0,0,2,1,1,0K,
GM-2887-NF,25-May-13,Apartment,Apartment / Unit / Flat,Sold,"24/28-34 Bent Street, Neutral Bay NSW 2089",NSW,north_shore_lower,Neutral Bay,2089,32332,"$760,000 ",0,0,2,1,1,0K,
