propertyId,date sold,primaryPropertyType,secondaryPropertyType,primaryCategory,address,state,locarea,suburb,postcode,suburbId,price,buildingsize,landsize,bedrooms,bathrooms,parking,medianPrice,propertyFeatures
SB-9697-US,30 Aug 2012,House,Townhouse,Sold,"5/36-38 Harris Rd, FIVE DOCK NSW 2046",NSW,inner_west,Five Dock,2046,17052,"$686,000",0,0,2,1,2,0K,"Air Conditioning, Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Formal Lounge, Garden, Polished Timber Floor, Security Alarm, Secure Parking, Powder room"
BQ-3671-ZZ,26 Mar 2011,Apartment,Apartment / Unit / Flat,Sold,"1/45 O'Brien Street, BONDI BEACH NSW 2026",NSW,eastern_suburbs,Bondi Beach,2026,5292,"$687,000",0,0,2,1,1,0K,"Security block of 9, Huge living / dining, Bright interiors, Entertainer's balcony, 2 double beds / built-ins, Main with balcony access, Smart integrated kitchen, Only one common wall, U/cover pkg / bus at door, A level stroll to the surf"
RR-3437-JF,09 Dec 2013,Apartment,Apartment / Unit / Flat,Sold,"15/10 Darley Road, MANLY NSW 2095",NSW,northern_beaches,Manly,2095,27222,"$660,000",0,0,1,1,1,0K,"Air Conditioning, Internal Laundry, Intercom, Balcony / Deck, Built in wardrobes, Secure Parking"
,28 May 2014,Apartment,Apartment / Unit / Flat,Sold,"5/208 Blaxland Road, Ryde NSW 2112",NSW,northern_suburbs,Ryde,2112,38132,"$640,000",0,0,2,2,1,0K,Secure Parking
,05 Nov 2012,,,,,,,,,,,,,,,,,
,18 Feb 2015,Apartment,Apartment / Unit / Flat,Sold,"D302/8 Saunders Close, Macquarie Park NSW 2113",NSW,northern_suburbs,Macquarie Park,2113,26812,"$585,000",0,0,1,1,1,0K,"Built in wardrobes,Dishwasher,Air conditioning"
GV-3661-BP,13 Jun 2015,Apartment,Apartment / Unit / Flat,Sold,"3/14-16 Onslow Ave, Elizabeth Bay NSW 2011",NSW,eastern_suburbs,Elizabeth Bay,2011,15442,"$875,000",85 sqm,0,2,2,1,0K,
CQ-1957-PC,27 May 2015,Apartment,Apartment / Unit / Flat,Sold,"25/170-176 Greenacre Road, BANKSTOWN NSW 2200",NSW,canterbury_bankstown,Bankstown,2200,2102,"$530,000",0,0,2,1,2,0K,
,21 Mar 2014,Apartment,Apartment / Unit / Flat,Sold,"803/15 Bayswater Road, Potts Point NSW 2011",NSW,eastern_suburbs,Potts Point,2011,35982,"$680,000",0,0,1,1,1,0K,
LL-6629-NI,16 Apr 2010,Apartment,Apartment / Unit / Flat,Sold,"7/52A Musgrave Street, Mosman NSW 2088",NSW,north_shore_lower,Mosman,2088,30012,"$505,000",0,0,2,1,1,0K,"2 double bedrooms,Barbecue area in rear maintained garden,Common storage area under building,Convenient to shops and transports,main with built-ins,Open plan renovated kitchen,Parking space on title,Polished floor boards in living area,Short stroll to Mosman & Musgrave Street Ferry wharves,Tranquil water views over Mosman Bay"
,02 Nov 2012,,,,,,,,,,,,,,,,,
FR-5747-XO,06 Aug 2016,Apartment,Apartment / Unit / Flat,Sold,"93/10 Pyrmont Bridge Road, Camperdown NSW 2050",NSW,inner_west,Camperdown,2050,8552,"$850,000",0,0,1,1,1,0K,Secure Parking
,20 Jun 2013,House,"Townhouse,Villa",Sold,"17/114 Crimea Road, MARSFIELD NSW 2122",NSW,northern_suburbs,Marsfield,2122,27602,"$510,000",0,0,2,1,1,0K,
A5806187,10 Mar 2015,Apartment,Apartment / Unit / Flat,Sold,"5/32-34 Noble Street, Allawah NSW 2218",NSW,st_george,Allawah,2218,532,"$620,000",0,0,2,1,1,0K,
